toi,toipfx,pl_pnum,ra,dec,st_pmra,st_pmraerr1,st_pmdec,pl_orbper,pl_orbpererr1,pl_trandurh,pl_trandurherr1,pl_trandep,pl_trandeperr1,pl_rade,pl_radeerr1,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_dist,st_disterr1,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_rad,st_raderr1,st_logg_missing,st_teff_missing,tfopwg_disp_CP,tfopwg_disp_FA,tfopwg_disp_FP,tfopwg_disp_KP,tfopwg_disp_PC,rastr_01h34m22.42s,rastr_03h41m50.17s,rastr_10h06m26.93s,decstr_-30d27m14.82s
1017.01,1017,1,124.726411,-37.78325,-11.278,0.045,9.593,1.10422,0.00013,2.37,0.062,14177.7,843.788,21.0448,5.22012,39459.3,3926.0,10.6019,0.006,406.997,4.7245,6995.2,157.0,-157.0,4.07,0.55,1.61,0.07,0,0,False,False,True,False,False,False,False,False,False
1018.01,1018,1,111.716019,-50.266567,-8.018,0.049,11.56,4.95912,0.00016,2.509,0.13,7440.0,197.962,22.9123,3.28055,673.55,1419.0,10.6254,0.006,360.541,2.9645,5889.0,124.3,-124.3,3.86,0.07,2.0,0.09,0,0,False,False,True,False,False,False,False,False,False
1019.01,1019,1,120.147994,-54.878552,-11.732,0.047,2.586,5.2341008,1.2e-06,3.7078139,0.0125204,20796.94163,50.80361,24.2931408,0.7497171,1453.666385,1574.838185,10.6348,0.006,399.544,4.1635,7645.0,134.4,-134.4,4.3,0.08,1.56203,0.0481257,0,0,False,False,False,False,True,False,False,False,False
102.01,102,1,87.139821,-63.988329,-15.641,0.037,26.046,4.4119378,8e-07,3.65,0.011,15062.0,69.1814,15.4706,0.691963,653.252,1408.0,9.7109,0.006,175.631,0.588,6280.0,-999.0,-999.0,4.32092,-999.0,1.21,0.05,0,0,False,False,False,True,False,False,False,False,False
1020.01,1020,1,128.381976,-43.828421,-5.814,0.051,4.328,3.28892,0.00066,3.793,0.202,10518.9,530.608,10.5468,0.7174066,29832.6,3661.0,10.7173,0.013,906.827,23.8635,8734.2,283.6,-283.6,4.1,1.45,1.23434,0.06,0,0,False,False,True,False,False,False,False,False,False
1021.01,1021,1,119.30075,-42.999149,-3.211,0.046,-15.082,1.90879,0.00035,1.909,0.231,618.482,1.43774,3.34688,0.217749,985.807,1561.0,10.5551,0.006,235.974,1.579,6022.6,133.5,-133.5,4.52,0.39,1.22,0.05,0,0,False,False,True,False,False,False,False,False,False
1022.01,1022,1,162.96491,-5.788708,-15.787,0.09,-11.849,3.09574,0.00677,4.475,1.196,380.0,74.60472,3.4262,0.778713,18087.9,3230.0,8.72924,0.007,120.666,1.068,6084.0,111.0,-111.0,4.13,0.3,1.41,0.05,0,0,False,True,False,False,False,False,False,False,False
1023.01,1023,1,120.837688,-51.345626,-23.366,0.042,22.652,1.3214483,2.31e-05,3.435,0.071,2180.0,137.946,21.8839,4.01475,35623.2,3827.0,9.697,0.006,316.398,2.247,5050.8,86.8,-86.8,3.56,0.4,2.99,0.15,0,0,False,False,True,False,False,False,False,False,False
1024.01,1024,1,86.820714,-72.422611,1.128,0.044,11.563,18.0157,0.00015,2.524,0.403,610.0,1.66317,21.644,0.7174066,7.64364,463.0,10.0814,0.006,692.266,12.113,4709.0,122.0,-122.0,4.33,-999.0,7.61,0.06,1,0,False,False,True,False,False,False,False,False,False
1025.01,1025,1,142.521159,-51.517114,-19.153,0.168,11.046,9.6837921,9e-07,2.4006056,0.0086986,4238.239901,15.838111,10.5468,0.7174066,3176.310692,1914.698926,5.5324,0.006,129.838,1.713,8598.7,1245.7,-1245.7,4.33,-999.0,1.23434,0.06,1,0,False,False,False,False,True,False,False,False,False
