koi_disposition,koi_period,koi_prad,koi_sma,koi_teq,koi_impact,koi_duration,koi_depth,koi_slogg,koi_srad,koi_kepmag,koi_smass,planet_star_radius_ratio,transit_depth,koi_max_sngle_ev,koi_max_mult_ev,kepoi_name,kepler_name,koi_dor,koi_parm_prov,koi_ror,koi_srho,koi_fittype,koi_datalink_dvr,koi_period_err1,koi_period_err2,koi_depth_err1,koi_depth_err2,koi_ror_err1,koi_ror_err2,koi_num_transits,detection_confidence,period_precision,depth_precision,is_grazing_transit,planets_in_system,is_multi_planet_system,physical_realism_score,detection_quality_score
CONFIRMED,3.2764573,1.71,0.0443,1195.0,0.001,2.219,323.0,4.504,0.963,15.934,1.079,0.016275901,264.9049937843497,3.1563628,15.281276,K02619.01,Kepler-1292 b,11.479,q1_q17_dr25_koi,0.016307,2.66517,LS+MCMC,008/008081/008081905/dv/kplr008081905-20160209194854_dvr.pdf,1.63e-05,-1.63e-05,20.9,-20.9,0.000733,-0.000702,344.0,9.218819400000001,201009.6503067485,15.454545454545455,0,2747.0,1,3.0,6.215792786878106
CONFIRMED,16.05733,2.27,0.1199,645.0,0.883,3.546,575.0,4.575,0.806,15.869,0.9,0.02581464,666.3956133506263,5.0213957,15.356581,K02620.01,Kepler-1862 b,18.09,q1_q17_dr25_koi,0.025772,0.43429,LS+MCMC,011/011465/011465950/dv/kplr011465950-20160209194854_dvr.pdf,0.000107,-0.000107,37.8,-37.8,0.000867,-0.00439,84.0,10.18898835,150068.5046728972,15.211640211640212,0,2747.0,1,3.0,4.8231140915704005
FALSE POSITIVE,8.443266,1.97,0.0844,934.0,0.42,3.353,360.0,4.468,1.023,15.351,1.122,0.01765086,311.55281793788254,4.6097593,17.16906,K02621.01,UNVETTED,17.84,q1_q17_dr25_koi,0.017642,1.50594,LS+MCMC,009/009996/009996632/dv/kplr009996632-20160209194854_dvr.pdf,6.33e-05,-6.33e-05,21.9,-21.9,0.000415,-0.00101,138.0,10.889409650000001,133384.9289099526,16.438356164383563,0,1.0,0,3.0,5.329235245371593
CONFIRMED,4.6030025,1.32,0.0496,848.0,0.072,2.6848,303.0,4.529,0.788,14.903,0.765,0.01535405,235.7468650686742,4.0206094,14.977744,K02393.01,Kepler-1834 b,13.28,q1_q17_dr25_koi,0.015352,2.09049,LS+MCMC,004/004665/004665571/dv/kplr004665571-20160209194854_dvr.pdf,1.75e-05,-1.75e-05,14.6,-14.6,0.000916,-0.000431,225.0,9.4991767,263028.71428571426,20.753424657534246,0,2747.0,1,3.0,5.823503886338155
FALSE POSITIVE,16.932928,2.46,0.135,793.0,0.319,1.218,488.0,4.417,1.095,14.779,1.143,0.02059189,424.0259879284906,4.5190077,17.22923,K02395.01,UNVETTED,103.0,q1_q17_dr25_koi,0.020585,71.99583,LS+MCMC,004/004829/004829935/dv/kplr004829935-20160209194854_dvr.pdf,4.41e-05,-4.41e-05,28.9,-28.9,0.000645,-0.000962,78.0,10.87411885,383966.6213151927,16.885813148788927,0,1.0,0,3.0,4.766589824675382
CONFIRMED,12.000896,1.47,0.0906,632.0,0.595,3.266,421.0,4.598,0.69,15.563,0.688,0.019527359,381.3177193409758,4.2007213,17.175404,K02397.01,Kepler-1221 b,23.25,q1_q17_dr25_koi,0.019481,1.65046,LS+MCMC,009/009269/009269042/dv/kplr009269042-20160209194854_dvr.pdf,6.86e-05,-6.86e-05,23.8,-23.8,0.00479,-0.000934,110.0,10.688062649999999,174940.1749271137,17.689075630252102,0,2747.0,1,4.0,5.109204744038228
FALSE POSITIVE,1.1690105,50.0,0.0283,3000.0,1.13,1.1717,166.0,3.25,5.847,13.579,2.214,0.07838125,6143.619636291563,4.022104,30.237457,K02398.01,UNVETTED,1.776,q1_q17_dr25_koi,0.143947,0.07752,LS+MCMC,006/006199/006199056/dv/kplr006199056-20160209194854_dvr.pdf,1.29e-06,-1.29e-06,5.5,-5.5,5.36,-0.123,1144.0,17.1297805,906209.6899224806,30.181818181818183,1,1.0,0,1.0,7.558441238425098
CONFIRMED,1.9169409,0.89,0.0282,1246.0,0.405,1.4243,105.0,4.468,0.872,14.1,0.815,0.009355107,87.51803180646554,3.636919,15.74991,K02399.01,Kepler-1222 b,9.53,q1_q17_dr25_koi,0.009377,4.45681,LS+MCMC,011/011461/011461433/dv/kplr011461433-20160209194854_dvr.pdf,6.03e-06,-6.03e-06,7.1,-7.1,0.000391,-0.00052,695.0,9.6934145,317900.6467661692,14.788732394366198,0,2747.0,1,3.0,6.918213459937504
CONFIRMED,5.056613,1.15,0.0583,1049.0,0.616,3.926,138.0,4.506,0.939,14.63,1.03,0.011225547,126.01289671370996,3.7609081,13.107499,K02467.01,Kepler-1839 b,7.93,q1_q17_dr25_koi,0.01123,0.36913,LS+MCMC,011/011818/011818607/dv/kplr011818607-20160209194854_dvr.pdf,3.07e-05,-3.07e-05,9.1,-9.1,1e-06,-0.000927,266.0,8.43420355,164710.52117263843,15.164835164835166,0,2747.0,1,3.0,5.949874515308708
CONFIRMED,24.334494,1.74,0.167,647.0,0.017,6.557,323.0,4.487,0.967,15.373,1.045,0.016492939,272.0170003954668,3.7300103,14.759786,K02468.01,Kepler-1249 b,28.82,q1_q17_dr25_koi,0.01646,0.7647,LS+MCMC,008/008380/008380709/dv/kplr008380709-20160209194854_dvr.pdf,0.000283,-0.000283,20.8,-20.8,0.000789,-0.000574,53.0,9.244898150000001,85987.61130742049,15.528846153846153,0,2747.0,1,4.0,4.361943738688422
CONFIRMED,131.18793,2.34,0.4644,284.0,0.069,6.905,916.0,4.518,0.803,15.048,0.774,0.026710102,713.4295982754643,6.4319,16.574022,K02469.01,Kepler-1840 b,148.7,q1_q17_dr25_koi,0.026732,3.61271,LS+MCMC,006/006149/006149910/dv/kplr006149910-20160209194854_dvr.pdf,0.00156,-0.00156,45.3,-45.3,0.00139,-0.000996,10.0,11.502960999999999,84094.82692307692,20.22075055187638,0,2747.0,1,4.0,2.818422833056649
FALSE POSITIVE,2.1748981,1.08,0.033,1496.0,0.76,4.599,74.8,4.323,1.15,13.655,1.014,0.008607978,74.09729076873207,4.607633,20.843405,K02470.01,UNVETTED,2.54,q1_q17_dr25_koi,0.008631,0.06568,LS+MCMC,009/009108/009108085/dv/kplr009108085-20160209194854_dvr.pdf,1.49e-05,-1.49e-05,3.1,-3.1,0.00151,-0.000774,614.0,12.725519,145966.31543624162,24.129032258064516,0,1.0,0,3.0,6.871279841945078
CONFIRMED,25.88594,1.66,0.1606,542.0,0.922,4.548,217.0,4.446,0.899,14.556,0.823,0.016924804,286.4489874553432,3.9972584,13.981552,K02471.01,Kepler-1841 b,18.63,q1_q17_dr25_koi,0.016887,0.18265,LS+MCMC,005/005436/005436013/dv/kplr005436013-20160209194854_dvr.pdf,0.000241,-0.000241,15.8,-15.8,0.000256,-0.00374,51.0,8.9894052,107410.53941908714,13.734177215189872,1,2747.0,1,4.0,4.310154748163863
CONFIRMED,28.62535,2.38,0.1857,573.0,0.021,4.551,653.0,4.508,0.941,15.826,1.038,0.023182623,537.4340347621766,4.828198,14.582436,K02544.01,Kepler-1273 b,49.16,q1_q17_dr25_koi,0.023158,2.74306,LS+MCMC,008/008676/008676148/dv/kplr008676148-20160209194854_dvr.pdf,0.000255,-0.000255,40.7,-40.7,0.00113,-0.000888,46.0,9.705317,112256.27450980392,16.044226044226043,0,2747.0,1,3.0,4.230781921504329
CONFIRMED,6.9814134,1.42,0.0806,1384.0,0.699,6.527,38.0,3.923,2.163,11.752,1.429,0.006017375,36.20880138892911,4.076148,13.523925,K02545.01,Kepler-1274 b,5.97,q1_q17_dr25_koi,0.006012,0.08246,LS+MCMC,009/009696/009696358/dv/kplr009696358-20160209194854_dvr.pdf,7.6e-05,-7.6e-05,2.2,-2.2,0.00173,-0.00042,194.0,8.800036500000001,91860.70263157894,17.27272727272727,0,2747.0,1,3.0,5.651540887089817
FALSE POSITIVE,1.319678,1.13,0.0245,1843.0,0.62,1.978,101.0,4.426,1.076,14.332,1.126,0.0096259015,92.65798320913196,4.069188,15.634558,K02546.01,UNVETTED,4.13,q1_q17_dr25_koi,0.009642,0.76722,LS+MCMC,005/005039/005039129/dv/kplr005039129-20160209194854_dvr.pdf,6.02e-06,-6.02e-06,7.0,-7.0,4.4e-05,-0.000766,1016.0,9.851873,219215.61461794018,14.428571428571429,0,1.0,0,3.0,7.296753233855451
CONFIRMED,8.9433775,1.48,0.0807,946.0,0.163,2.469,215.0,4.375,1.005,14.169,0.873,0.013498046,182.1972451550658,3.4706314,15.455015,K02547.01,Kepler-1857 b,27.68,q1_q17_dr25_koi,0.013531,5.01751,LS+MCMC,004/004484/004484336/dv/kplr004484336-20160209194854_dvr.pdf,4.42e-05,-4.42e-05,13.4,-13.4,0.00055,-0.000573,120.0,9.462823199999999,202338.85746606337,16.044776119402986,0,2747.0,1,3.0,5.17400315467924
CANDIDATE,0.8271513,19.1,0.0172,3000.0,0.281,1.385,272.0,3.0,11.895,14.992,0.984,0.014717843,216.6149069931016,7.0069933,20.061884,K02548.01,UNVETTED,4.49,q1_q17_dr25_koi,0.014702,2.50841,LS+MCMC,009/009580/009580167/dv/kplr009580167-20160209194854_dvr.pdf,3.96e-06,-3.96e-06,22.9,-22.9,0.000914,-0.000903,1370.0,13.53443865,208876.5909090909,11.877729257641922,0,1.0,0,0.0,7.614190006588418
CONFIRMED,12.282998,2.83,0.0847,431.0,0.047,2.7096,2790.0,4.708,0.537,15.473,0.537,0.04830448,2333.3226587630984,17.01606,104.526276,K00250.01,Kepler-26 b,36.27,q1_q17_dr25_koi,0.048233,5.98262,LS+MCMC,009/009757/009757613/dv/kplr009757613-20160209194854_dvr.pdf,8e-06,-8e-06,22.4,-22.4,0.000494,-0.000238,110.0,60.771167999999996,1535374.75,124.55357142857143,0,2747.0,1,3.0,5.800515134458736
FALSE POSITIVE,0.3286865,1.11,0.009,2324.0,0.233,0.8592,172.0,4.535,0.847,15.316,0.896,0.012011986,144.28780800419534,4.177494,13.651684,K02622.01,UNVETTED,2.944,q1_q17_dr25_koi,0.012036,4.47005,LS+MCMC,010/010527/010527135/dv/kplr010527135-20160209194854_dvr.pdf,4.62e-07,-4.62e-07,8.8,-8.8,0.000508,-0.000446,2036.0,8.914589,711442.6406926407,19.545454545454543,0,1.0,0,2.0,8.010643278874197
CONFIRMED,6.383159,2.73,0.0562,530.0,0.197,1.7504,2310.0,4.681,0.576,15.254,0.581,0.04344256,1887.2560490851415,9.955957,55.220226,K00253.01,Kepler-2000 b,28.55,q1_q17_dr25_koi,0.043356,10.80586,LS+MCMC,011/011752/011752906/dv/kplr011752906-20160209194854_dvr.pdf,6.4e-06,-6.4e-06,40.8,-40.8,0.0011,-0.000801,171.0,32.5880915,997368.59375,56.617647058823536,0,2747.0,1,3.0,5.878758281146291
CONFIRMED,5.5765476,0.92,0.0659,1183.0,0.45,3.673,53.6,4.341,1.238,13.383,1.23,0.006811495,46.39646197950588,3.4197824,12.898838,K02623.01,Kepler-1293 b,10.47,q1_q17_dr25_koi,0.006836,0.69821,LS+MCMC,010/010916/010916600/dv/kplr010916600-20160209194854_dvr.pdf,5.44e-05,-5.44e-05,4.5,-4.5,0.000284,-0.000408,239.0,8.1593102,102510.06617647057,11.911111111111111,0,2747.0,1,3.0,5.81804085205015
CONFIRMED,115.68634,3.52,0.4684,401.0,0.226,4.65,946.0,4.327,1.149,15.174,1.021,0.02808005,788.4892349746558,6.834071,16.991114,K02624.01,Kepler-1294 b,190.6,q1_q17_dr25_koi,0.028036,9.78828,LS+MCMC,008/008429/008429314/dv/kplr008429314-20160209194854_dvr.pdf,0.000897,-0.000897,51.5,-51.5,0.00119,-0.000952,11.0,11.912592499999999,128970.27870680044,18.368932038834952,0,2747.0,1,3.0,2.900399608897433
CONFIRMED,3.8137143,1.37,0.0464,1029.0,0.306,1.973,281.0,4.571,0.82,15.89,0.918,0.015313764,234.5113832645084,3.2230823,11.01746,K02625.01,Kepler-1295 b,14.31,q1_q17_dr25_koi,0.015334,3.81156,LS+MCMC,009/009153/009153570/dv/kplr009153570-20160209194854_dvr.pdf,2.54e-05,-2.54e-05,29.2,-29.2,0.000833,-0.0011,348.0,7.12027115,150146.23228346457,9.623287671232877,0,2747.0,1,3.0,6.162579487849247
CONFIRMED,38.097073,1.58,0.1667,242.0,0.953,4.307,913.0,4.867,0.398,15.931,0.426,0.036387254,1324.0321434856205,4.2678237,14.57548,K02626.01,Kepler-1652 b,27.6,q1_q17_dr25_koi,0.03645,0.27308,LS+MCMC,011/011768/011768142/dv/kplr011768142-20160209194854_dvr.pdf,0.000308,-0.000308,59.1,-59.1,0.00155,-0.00976,38.0,9.42165185,123691.79545454546,15.448392554991539,1,2747.0,1,5.0,4.037800940171143
CANDIDATE,11.619171,2.21,0.0977,756.0,0.059,1.819,700.0,4.56,0.834,15.664,0.92,0.024288544,589.9333453840122,4.3428326,16.516773,K02400.01,UNVETTED,49.91,q1_q17_dr25_koi,0.024284,17.42147,LS+MCMC,007/007984/007984574/dv/kplr007984574-20160209194854_dvr.pdf,4.59e-05,-4.59e-05,44.9,-44.9,0.00108,-0.000986,112.0,10.429802800000001,253140.98039215687,15.590200445434299,0,1.0,0,3.0,5.1125670653557425
FALSE POSITIVE,2.6375747,9.16,0.039,1385.0,0.909,5.4573,5420.0,4.466,1.03,15.106,1.132,0.08151424,6644.571770314167,82.96418,553.4832,K00243.01,UNVETTED,2.3713,q1_q17_dr25_koi,0.081431,0.03626,LS+MCMC,009/009592/009592579/dv/kplr009592579-20160209194854_dvr.pdf,1.86e-06,-1.86e-06,32.4,-32.4,0.000363,-0.000417,514.0,318.22369000000003,1418050.9139784947,167.28395061728395,1,1.0,0,1.0,9.938969074153578
CANDIDATE,38.229202,1.51,0.1865,359.0,0.571,3.893,606.0,4.656,0.598,14.847,0.592,0.023144672,535.6757982185424,5.812317,17.32579,K02401.01,UNVETTED,63.7,q1_q17_dr25_koi,0.023157,3.34768,LS+MCMC,010/010336/010336951/dv/kplr010336951-20160209194854_dvr.pdf,0.000281,-0.000281,33.6,-33.6,0.00779,-0.000977,35.0,11.5690535,136046.9822064057,18.035714285714285,0,1.0,0,5.0,3.993841164855174
CONFIRMED,16.301273,1.54,0.1186,557.0,0.88,3.974,260.0,4.558,0.796,14.61,0.836,0.017733028,314.46028596083335,4.1698275,15.581302,K02402.01,Kepler-1223 b,16.04,q1_q17_dr25_koi,0.017701,0.29392,LS+MCMC,008/008481/008481129/dv/kplr008481129-20160209194854_dvr.pdf,0.000105,-0.000105,15.4,-15.4,0.000575,-0.00332,81.0,9.87556475,155250.21904761903,16.883116883116884,0,2747.0,1,4.0,4.79386060245175
CONFIRMED,13.323541,1.32,0.1165,872.0,0.225,3.873,117.0,4.341,1.218,12.867,1.194,0.00993349,98.67423876068256,4.4981422,15.665018,K02403.01,Kepler-1224 b,25.88,q1_q17_dr25_koi,0.009905,1.84695,LS+MCMC,002/002142/002142522/dv/kplr002142522-20160209194854_dvr.pdf,9.75e-05,-9.75e-05,8.3,-8.3,0.000503,-0.000415,102.0,10.0815801,136651.70256410257,14.096385542168674,0,2747.0,1,3.0,5.006990323939584
CONFIRMED,2.6075451,2.07,0.0393,1431.0,0.206,1.3916,352.0,4.435,1.096,15.618,1.193,0.017311513,299.6885023698663,3.2773132,20.19543,K02472.01,Kepler-1250 b,14.27,q1_q17_dr25_koi,0.017257,8.08759,LS+MCMC,009/009395/009395719/dv/kplr009395719-20160209194854_dvr.pdf,6.59e-06,-6.59e-06,18.2,-18.2,0.000539,-0.000697,508.0,11.736371600000002,395682.10925644916,19.340659340659343,0,2747.0,1,2.0,6.651073913156187
CONFIRMED,3.2441754,1.84,0.0401,1047.0,0.761,1.992,372.0,4.469,0.87,15.77,0.813,0.019385358,375.7920944596,4.64858,15.037362,K02473.01,Kepler-389 b,8.49,q1_q17_dr25_koi,0.019378,1.09879,LS+MCMC,008/008753/008753896/dv/kplr008753896-20160209194854_dvr.pdf,1.56e-05,-1.56e-05,23.4,-23.4,0.00555,-0.00211,349.0,9.842971,207959.96153846153,15.897435897435898,0,2747.0,1,3.0,6.239079053320745
CANDIDATE,176.8457,42.05,0.574,291.0,1.4653,3.812,432.0,4.541,0.797,14.182,0.804,0.48359627,233865.33693638185,-999.0,-999.0,K02474.01,UNVETTED,81.3,q1_q16_koi,0.483193,0.32545,MCMC,UNKNOWN,0.00275,-0.00275,87.1,-87.1,0.13,-0.41,-999.0,-999.0,64307.527272727275,4.959816303099886,1,1.0,0,3.0,
FALSE POSITIVE,6.8556724,1.27,0.0702,897.0,0.479,2.268,198.0,4.538,0.883,14.738,0.982,0.013183122,173.79470216181437,4.783982,15.146826,K02475.01,UNVETTED,20.63,q1_q17_dr25_koi,0.013131,3.53295,LS+MCMC,008/008746/008746295/dv/kplr008746295-20160209194854_dvr.pdf,3.01e-05,-3.01e-05,13.6,-13.6,0.000299,-0.000854,200.0,9.965404,227763.20265780733,14.558823529411764,0,1.0,0,3.0,5.6774217387832895
FALSE POSITIVE,2.2860727,1.01,0.0301,942.0,0.059,7.82,262.0,4.65,0.654,15.546,0.724,0.014155294,200.37233064461665,3.4087763,17.49624,K02476.01,UNVETTED,2.34,q1_q17_dr25_koi,0.014211,0.04637,LS+MCMC,010/010090/010090257/dv/kplr010090257-20160209194854_dvr.pdf,2.38e-05,-2.38e-05,16.5,-16.5,0.0408,-0.000906,477.0,10.45250815,96053.47478991597,15.878787878787879,0,1.0,0,3.0,6.556741581837537
CONFIRMED,9.60506,0.91,0.0883,941.0,0.54,3.0063,55.0,4.279,1.198,9.997,0.997,0.006962414,48.47520421729222,21.69294,26.348282,K00246.02,Kepler-68 c,20.76,q1_q17_dr25_koi,0.006981,1.83471,LS+MCMC,011/011295/011295426/dv/kplr011295426-20160209194854_dvr.pdf,3.46e-05,-3.46e-05,1.9,-1.9,0.00176,-0.00022,131.0,24.020611000000002,277602.8901734104,28.947368421052634,0,2747.0,1,3.0,5.462952178082359
FALSE POSITIVE,3.5478992,0.99,0.0422,987.0,0.325,2.861,185.0,4.619,0.725,15.413,0.805,0.012516199,156.6552214564596,4.3390307,11.011869,K02549.01,UNVETTED,9.11,q1_q17_dr25_koi,0.012462,1.13562,LS+MCMC,010/010679/010679583/dv/kplr010679583-20160209194854_dvr.pdf,2.88e-05,-2.88e-05,16.2,-16.2,0.000624,-0.000791,301.0,7.675449850000001,123190.94444444444,11.419753086419753,0,1.0,0,3.0,6.039110335473594
CANDIDATE,18.024347,1.98,0.1346,683.0,0.57,3.575,441.0,4.52,0.91,15.419,0.999,0.019943394,397.7389241784885,3.7121258,14.808048,K02550.01,UNVETTED,32.6,q1_q17_dr25_koi,0.019931,2.01714,LS+MCMC,011/011622/011622985/dv/kplr011622985-20160209194854_dvr.pdf,0.000115,-0.000115,29.5,-29.5,0.000266,-0.00145,75.0,9.2600869,156733.452173913,14.94915254237288,0,1.0,0,4.0,4.700274778854297
CANDIDATE,16.479322,1.53,0.1165,537.0,0.263,3.312,479.0,4.618,0.716,15.846,0.797,0.019586356,383.6253660543805,3.9427547,12.115194,K02551.01,UNVETTED,37.45,q1_q17_dr25_koi,0.019585,3.65785,LS+MCMC,011/011361/011361283/dv/kplr011361283-20160209194854_dvr.pdf,0.000173,-0.000173,41.2,-41.2,0.00117,-0.00112,81.0,8.02897435,95256.19653179191,11.62621359223301,0,1.0,0,4.0,4.74058650043016
CONFIRMED,3.656909,1.32,0.0488,1368.0,0.217,2.064,107.0,4.294,1.271,14.46,1.162,0.00951927,90.61649505194114,3.2343674,12.475003,K02552.01,Kepler-1275 b,13.35,q1_q17_dr25_koi,0.009517,3.36906,LS+MCMC,008/008757/008757824/dv/kplr008757824-20160209194854_dvr.pdf,1.92e-05,-1.92e-05,9.8,-9.8,0.000539,-0.000517,365.0,7.8546852,190464.0104166667,10.918367346938775,0,2747.0,1,3.0,6.228988253873125
CONFIRMED,88.07127,2.4,0.3575,330.0,0.347,6.758,885.0,4.506,0.819,15.639,0.785,0.026859788,721.4482407527368,4.8004904,11.975632,K02553.01,Kepler-1858 b,96.2,q1_q17_dr25_koi,0.026801,2.17141,LS+MCMC,009/009832/009832208/dv/kplr009832208-20160209194854_dvr.pdf,0.00085,-0.00085,55.9,-55.9,0.00105,-0.00152,15.0,8.3880612,103613.25882352941,15.831842576028622,0,2747.0,1,4.0,3.138796582624948
CONFIRMED,8.383958,3.24,0.0896,1285.0,0.892,5.2,109.0,3.741,2.605,14.667,1.365,0.011400201,129.96459685527736,4.1577144,12.237531,K02627.01,Kepler-1296 b,5.94,q1_q17_dr25_koi,0.01139,0.05636,LS+MCMC,006/006124/006124512/dv/kplr006124512-20160209194854_dvr.pdf,8.45e-05,-8.45e-05,8.9,-8.9,0.00145,-0.00208,162.0,8.1976227,99218.43786982249,12.247191011235955,0,2747.0,1,2.0,5.434104980887286
CONFIRMED,1.6818905,1.27,0.0283,1790.0,0.415,2.992,83.2,4.191,1.374,14.812,1.068,0.008472122,71.77686327589464,3.201359,14.623486,K02628.01,Kepler-1297 b,4.0,q1_q17_dr25_koi,0.008447,0.42957,LS+MCMC,010/010070/010070468/dv/kplr010070468-20160209194854_dvr.pdf,1.08e-05,-1.08e-05,5.6,-5.6,0.000298,-0.000448,791.0,8.9124225,155730.60185185185,14.85714285714286,0,2747.0,1,3.0,7.040047622040128
FALSE POSITIVE,8.590004,1.82,0.0812,843.0,0.909,6.68,298.0,4.538,0.876,15.408,0.965,0.019043313,362.6478127722247,4.0853095,16.47754,K02629.01,UNVETTED,4.61,q1_q17_dr25_koi,0.018988,0.02514,LS+MCMC,010/010031/010031656/dv/kplr010031656-20160209194854_dvr.pdf,8.86e-05,-8.86e-05,17.9,-17.9,0.00018,-0.0034,125.0,10.281424750000001,96952.64108352145,16.648044692737432,1,1.0,0,3.0,5.2261586539476115
CONFIRMED,44.99776,1.59,0.2555,508.0,0.928,9.686,170.0,4.493,0.983,13.468,1.097,0.014825825,219.80507314165817,5.222022,15.961918,K02631.01,Kepler-1863 b,14.57,q1_q17_dr25_koi,0.014766,0.02888,LS+MCMC,007/007584/007584650/dv/kplr007584650-20160209194854_dvr.pdf,0.000517,-0.000517,8.3,-8.3,0.000368,-0.00288,31.0,10.59197,87036.28626692457,20.481927710843372,1,2747.0,1,4.0,3.878376803806381
CONFIRMED,7.1281514,1.36,0.082,1373.0,0.201,5.522,45.9,3.998,1.994,11.392,1.443,0.0062515684,39.08211043670769,3.967777,16.418793,K02632.01,Kepler-1298 b,9.74,q1_q17_dr25_koi,0.006237,0.34415,LS+MCMC,011/011337/011337566/dv/kplr011337566-20160209194854_dvr.pdf,6.2e-05,-6.2e-05,2.4,-2.4,0.000268,-0.000188,150.0,10.193285,114970.18387096774,19.125,0,2747.0,1,3.0,5.419408969145387
CANDIDATE,2.1008162,1.65,0.0318,1378.0,0.979,2.8182,169.0,4.5,0.918,15.656,0.974,0.016474662,271.41448702215,3.334205,11.602652,K02404.01,UNVETTED,1.846,q1_q17_dr25_koi,0.016455,0.02697,LS+MCMC,006/006364/006364215/dv/kplr006364215-20160209194854_dvr.pdf,1.48e-05,-1.48e-05,12.5,-12.5,0.00135,-0.00504,434.0,7.4684285,141947.04054054053,13.52,1,1.0,0,3.0,6.417583017028349
FALSE POSITIVE,0.8729521,25.5,0.0204,3000.0,1.1,1.4499,137.0,3.972,2.082,12.335,1.48,0.1122625,12602.868631952271,4.599537,37.332584,K02405.01,UNVETTED,1.339,q1_q17_dr25_koi,0.112178,0.05956,LS+MCMC,010/010202/010202759/dv/kplr010202759-20160209194854_dvr.pdf,1.02e-06,-1.02e-06,4.1,-4.1,1.58,-0.0363,1533.0,20.966060499999998,855835.3921568628,33.41463414634146,1,1.0,0,0.0,7.899142775442052
CONFIRMED,7.010743,3.76,0.0771,1453.0,0.427,2.1787,223.0,3.745,2.476,14.689,1.243,0.013919142,193.7425038047797,4.426263,18.540503,K02406.01,Kepler-1225 b,22.6,q1_q17_dr25_koi,0.013898,4.45167,LS+MCMC,005/005007/005007345/dv/kplr005007345-20160209194854_dvr.pdf,2.52e-05,-2.52e-05,12.3,-12.3,0.000381,-0.000677,187.0,11.483383,278204.0873015873,18.130081300813007,0,2747.0,1,2.0,5.646401996165444
CONFIRMED,17.292263,2.13,0.1361,809.0,0.865,7.042,203.0,4.261,1.299,14.15,1.122,0.01502954,225.88708631626483,4.1339293,18.592783,K02407.01,Kepler-1226 b,10.01,q1_q17_dr25_koi,0.015049,0.06339,LS+MCMC,012/012120/012120484/dv/kplr012120484-20160209194854_dvr.pdf,0.000128,-0.000128,9.9,-9.9,0.000276,-0.00211,81.0,11.363356150000001,135095.8046875,20.505050505050505,0,2747.0,1,2.0,4.8271815902401425
CONFIRMED,94.28922,2.11,0.4092,369.0,0.613,4.102,505.0,4.537,0.904,14.183,1.026,0.021393865,457.6975086461301,7.9420037,17.739546,K02408.01,Kepler-1227 b,143.4,q1_q17_dr25_koi,0.021415,6.27526,LS+MCMC,006/006429/006429812/dv/kplr006429812-20160209194854_dvr.pdf,0.000647,-0.000647,26.3,-26.3,0.00551,-0.00113,13.0,12.84077485,145732.95208655333,19.20152091254753,0,2747.0,1,4.0,3.0680408675425763
CONFIRMED,14.026347,2.66,0.116,822.0,0.877,1.2808,404.0,4.355,1.131,14.729,1.057,0.021557296,464.717002529045,4.0753584,15.594649,K02477.01,Kepler-1842 b,43.9,q1_q17_dr25_koi,0.021529,8.12745,LS+MCMC,006/006846/006846911/dv/kplr006846911-20160209194854_dvr.pdf,4e-05,-4e-05,26.3,-26.3,0.00194,-0.00306,97.0,9.8350037,350658.67499999993,15.361216730038022,0,2747.0,1,2.0,4.962808885736656
FALSE POSITIVE,12.425866,2.12,0.0982,741.0,0.977,29.1428,258.0,4.404,0.94,14.148,0.816,0.020672036,427.3330804707605,4.015718,19.105417,K02478.01,UNVETTED,1.377152,q1_q17_dr25_koi,0.020606,0.00032,LS,005/005385/005385439/dv/kplr005385439-20160209194854_dvr.pdf,-999.0,-999.0,-999.0,-999.0,0.0,0.0,112.0,11.5605675,0.012438304304304303,0.25825825825825827,1,1.0,0,3.0,4.865966336706511
CONFIRMED,25.543371,2.11,0.171,772.0,0.44,8.567,139.0,3.945,1.782,12.939,1.02,0.010853005,117.78771857046456,4.198417,18.577278,K02479.01,Kepler-1843 b,20.74,q1_q17_dr25_koi,0.010853,0.2587,LS+MCMC,005/005963/005963582/dv/kplr005963582-20160209194854_dvr.pdf,0.000226,-0.000226,5.7,-5.7,0.000166,-0.000536,51.0,11.3878475,113023.76548672566,24.385964912280702,0,2747.0,1,3.0,4.388541839461121
FALSE POSITIVE,33.85426,15.96,0.2402,1326.0,0.1881,12.689,253.0,3.0,10.472,13.605,1.616,0.013969424,195.1448101499412,-999.0,-999.0,K02481.01,UNVETTED,20.32,q1_q16_koi,0.013954,0.13841,MCMC,UNKNOWN,0.000791,-0.000791,24.5,-24.5,0.00106,-0.000691,-999.0,-999.0,42799.317319848284,10.326530612244898,0,1.0,0,1.0,
CONFIRMED,45.09092,2.44,0.2478,487.0,0.957,4.605,436.0,4.528,0.9,14.976,0.998,0.024849782,617.5116175751879,5.1462154,12.797429,K02482.01,Kepler-1251 b,27.5,q1_q17_dr25_koi,0.024803,0.19406,LS+MCMC,011/011403/011403389/dv/kplr011403389-20160209194854_dvr.pdf,0.000475,-0.000475,34.2,-34.2,0.000157,-0.00678,27.0,8.9718222,94928.25263157894,12.748538011695905,1,2747.0,1,3.0,3.684015981378945
