koi_disposition,koi_period,koi_prad,koi_sma,koi_teq,koi_impact,koi_duration,koi_depth,koi_slogg,koi_srad,koi_kepmag,koi_smass,planet_star_radius_ratio,transit_depth,koi_max_sngle_ev,koi_max_mult_ev,kepoi_name,kepler_name,koi_dor,koi_parm_prov,koi_ror,koi_srho,koi_fittype,koi_datalink_dvr,koi_period_err1,koi_period_err2,koi_depth_err1,koi_depth_err2,koi_ror_err1,koi_ror_err2,koi_num_transits,detection_confidence,period_precision,depth_precision,is_grazing_transit,planets_in_system,is_multi_planet_system,physical_realism_score,detection_quality_score
CONFIRMED,2.2047355,16.1,0.0376,2048.0,0.224,3.88864,6670.0,4.019,1.952,10.463,1.449,0.07559992,5715.347277132896,232.27,3862.1846,K00002.01,Kepler-2 b,4.602,q1_q17_dr25_koi,0.075522,0.37936,LS+MCMC,010/010666/010666592/dv/kplr010666592-20160209194854_dvr.pdf,4.3e-08,-4.3e-08,1.7,-1.7,0.000298,-0.00035,611.0,2047.2273,51272918.60465116,3923.529411764706,0,2747.0,1,1.0,27.57988076044385
CONFIRMED,3.5224984,14.59,0.0473,1521.0,0.631,3.19843,9150.0,4.169,1.451,13.563,1.132,0.09216438,8494.273839747524,130.83832,1725.5824,K00010.01,Kepler-8 b,7.541,q1_q17_dr25_koi,0.092086,0.65374,LS+MCMC,006/006922/006922244/dv/kplr006922244-20160209194854_dvr.pdf,1.98e-07,-1.98e-07,6.6,-6.6,0.000141,-0.000177,384.0,928.21036,17790395.95959596,1386.3636363636365,0,2747.0,1,1.0,15.926222412219309
CONFIRMED,3.7092142,1.16,0.0465,1206.0,0.051,2.6302,131.0,4.407,1.022,12.772,0.974,0.010403569,108.23424341920524,4.8657312,41.28873,K00112.02,Kepler-466 c,10.888,q1_q17_dr25_koi,0.010424,1.77451,LS+MCMC,010/010984/010984090/dv/kplr010984090-20160209194854_dvr.pdf,6.54e-06,-6.54e-06,3.0,-3.0,0.000318,-0.000147,352.0,23.0772306,567158.1345565749,43.666666666666664,0,2747.0,1,3.0,6.477163114061577
FALSE POSITIVE,11.521446,50.0,0.0978,753.0,2.483,3.6399,18000.0,4.554,0.848,15.472,0.938,0.5404424,292077.970983795,92.901566,628.3708,K00742.01,UNVETTED,20.75,q1_q17_dr25_koi,1.625358,1.27376,LS+MCMC,010/010419/010419211/dv/kplr010419211-20160209194854_dvr.pdf,1.98e-06,-1.98e-06,31.9,-31.9,2.85,-0.663,96.0,360.636183,5818912.12121212,564.2633228840126,1,1.0,0,2.0,8.814801976581068
FALSE POSITIVE,19.403938,7.18,0.123,523.0,0.804,12.2155,8920.0,4.591,0.68,15.487,0.657,0.09678115,9366.591109600127,49.468765,320.90817,K00743.01,UNVETTED,9.099,q1_q17_dr25_koi,0.096729,0.03785,LS+MCMC,010/010464/010464078/dv/kplr010464078-20160209194854_dvr.pdf,2.07e-05,-2.07e-05,53.3,-53.3,0.000533,-0.000532,71.0,185.1884675,937388.3091787441,167.35459662288932,0,1.0,0,2.0,6.641158038936216
FALSE POSITIVE,19.22139,49.29,0.1417,698.0,1.065,4.79843,74300.0,4.496,0.947,15.341,1.025,0.47707218,227597.86149833637,387.658,2174.4263,K00744.01,UNVETTED,31.323,q1_q17_dr25_koi,0.476633,1.57359,LS+MCMC,010/010480/010480982/dv/kplr010480982-20160209194854_dvr.pdf,1.12e-06,-1.12e-06,21.9,-21.9,0.0245,-0.0277,55.0,1281.04215,17161955.357142854,3392.694063926941,1,1.0,0,2.0,17.526648668666674
FALSE POSITIVE,16.469837,7.94,0.1147,595.0,0.292,9.4378,10500.0,4.517,0.786,15.788,0.741,0.09259194,8573.268229631001,43.1625,258.8247,K00745.01,UNVETTED,14.05,q1_q17_dr25_koi,0.092509,0.19353,LS+MCMC,010/010485/010485250/dv/kplr010485250-20160209194854_dvr.pdf,1.36e-05,-1.36e-05,39.9,-39.9,0.000598,-0.00111,66.0,150.99360000000001,1211017.4264705882,263.15789473684214,0,1.0,0,2.0,6.272283320439816
CONFIRMED,9.2735815,2.47,0.0759,649.0,0.387,3.2875,1290.0,4.583,0.696,15.302,0.676,0.03252842,1058.0980794987297,9.616924,71.48005,K00746.01,Kepler-660 b,20.65,q1_q17_dr25_koi,0.032563,1.93557,LS+MCMC,010/010526/010526549/dv/kplr010526549-20160209194854_dvr.pdf,1.04e-05,-1.04e-05,16.8,-16.8,0.00306,-0.00063,144.0,40.548487,891690.5288461539,76.78571428571428,0,2747.0,1,3.0,5.817614391752345
CONFIRMED,6.029303,2.85,0.0585,678.0,0.258,1.5821,1910.0,4.648,0.672,15.784,0.761,0.038873248,1511.1294612150325,6.876831,52.36939,K00747.01,Kepler-661 b,29.31,q1_q17_dr25_koi,0.038838,13.09803,LS+MCMC,010/010583/010583066/dv/kplr010583066-20160209194854_dvr.pdf,5.51e-06,-5.51e-06,34.4,-34.4,0.00102,-0.0012,215.0,29.623110500000003,1094247.3684210526,55.52325581395349,0,2747.0,1,3.0,6.074974728763361
FALSE POSITIVE,2.6963706,1.58,0.0349,1066.0,0.044,3.6129,398.0,4.504,0.819,15.269,0.781,0.017682694,312.6776715651271,5.508401,34.570904,K00748.01,UNVETTED,5.827,q1_q17_dr25_koi,0.017673,0.51471,LS+MCMC,010/010583/010583180/dv/kplr010583180-20160209194854_dvr.pdf,7.53e-06,-7.53e-06,9.5,-9.5,0.000551,-0.000311,501.0,20.0396525,358083.7450199203,41.89473684210526,0,1.0,0,3.0,6.794871558099172
