pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_rade,pl_masse,pl_dens,st_teff,st_logg,st_mass,st_rad,st_lum,sy_dist,sy_vmag,sy_kmag,pl_st_radius_ratio,pl_st_mass_ratio,pl_eqt,pl_escape_velocity,pl_stellar_flux,pl_hill_radius,pl_transit_probability,disposition,default_flag,tran_flag,ttv_flag,pl_controv_flag,discoverymethod
BD+20 594 b,BD+20 594,41.688644,0.2356763904103608,0.0174660761921274,89.52554,2.35545351,13.912922543025712,5.926849223113054,5703.0,4.38,0.963861,0.956122,0.8791245908692378,179.461,10.849,9.368,0.0225806518625917,4.3354098257058135e-05,506.6521896919815,27.18542401672112,1.2595296874310256,0.0057405351284244,0.018866619051649,CONFIRMED,0,1,0,0,Transit
BD+20 594 b,BD+20 594,41.6855,0.241,0.0,89.55,2.2299999999999995,16.3,7.890000000000001,5766.0,4.5,0.961,0.928,1e-06,179.461,10.849,9.368,0.0220258225607636,5.094369188735084e-05,499.0545742323979,30.24165583870649,1.3701119392907782e-06,0.0061945072088674,0.0179072039834024,CONFIRMED,0,1,0,0,Transit
BD+20 594 b,BD+20 594,41.6855,0.2409999431913793,0.0,89.55,2.57807,22.248100000000004,7.159382636976989,5766.0,4.5,1.67,1.08,6.0187686336937904,179.461,10.849,9.368,0.0218799436466714,4.001314197756477e-05,538.3763594645625,32.85967830110868,8.246390652537547,0.0057153663518721,0.0208402854104061,CONFIRMED,1,1,0,0,Transit
EPIC 201111557.01,EPIC 201111557,2.3018300000000003,0.0328687120320259,0.3366170429505454,87.47414397746347,1.12,1.3665549314200351,5.17564006216538,4616.52,4.53679,0.73,0.762602,1e-06,97.1795,11.727,9.22,0.0134615581684829,5.6225125297789256e-06,980.7996085016556,12.35573916270259,7.365882097405697e-05,0.0004052463191944,0.1078976784817268,CANDIDATE,1,1,0,0,Transit
EPIC 201111557.01,EPIC 201111557,2.302368,0.0273584598892611,0.0174352752872673,87.44384,1.3125876500000002,5.047759613832528,12.155448634552702,4720.0,4.5,0.7435321368914499,0.710995,0.3583807193935093,97.1795,11.727,9.22,0.0169214282389619,2.039037057067161e-05,1061.2980953552849,21.93559259307885,38.10232539218905,0.0005182344348789,0.1208569828504077,CANDIDATE,0,1,0,0,Transit
EPIC 201126503.01,EPIC 201126503,1.1947488000000002,0.0194361214521347,0.0276254924590967,86.56792143035244,4.19,13.570807850920906,1.052330322504678,3919.0,4.714190673309013,0.6054749299450989,0.57,0.1727530324968998,290.062,19.21,14.23,0.06737742615016,6.731870207786135e-05,936.0861614428215,20.1307536952695,36.391219319717926,0.0005482110233161,0.1363835838610101,CANDIDATE,1,1,0,0,Transit
EPIC 201127519.01,EPIC 201127519,6.178369,0.054405987362241,0.1192707548630856,88.79651,9.91257877,166.6401616255768,1.0593628858482247,5015.0,4.67,0.9471922574527064,0.789478,0.8364415703486399,117.704,11.733,9.43,0.1150858338216397,0.0005284059960815,842.6079280224858,45.8628151787843,22.487043088988703,0.0030497356075155,0.0674823476727869,CANDIDATE,0,1,0,0,Transit
EPIC 201127519.01,EPIC 201127519,6.178869999999999,0.0695454076560938,0.0564134607790325,87.70484709941556,8.839999999999998,68.10280022432511,0.6000835479038065,4719.28,4.45833,0.756,0.849432,1e-06,117.704,11.733,9.43,0.0953891319355052,0.000270563602145,727.4677773084767,31.04706480568068,1.645330777247936e-05,0.0031187782465907,0.0568011341967288,CANDIDATE,1,1,0,0,Transit
EPIC 201147085.01,EPIC 201147085,1.1758900000000003,0.0177604007993516,0.0383590340680732,87.60747454582294,0.8599999999999999,7.5875380909602175,37.82301264288622,3451.569113025933,4.93774715879319,0.2895227861592829,0.309,0.0010364226733535,166.5844,16.64,11.397,0.0255102797528469,7.871261362125475e-05,635.0053265664737,33.22503235385868,0.2614697891610945,0.0005277486387517,0.0809100676406165,CANDIDATE,1,1,0,0,Transit
EPIC 201152065.01,EPIC 201152065,10.696600000000002,0.0890603463114907,0.0913876512316635,89.06775867423701,1.4500000000000002,3.517538960413086,6.343716684021128,3988.097958244849,4.6880493208286005,0.6011365437373275,0.588,0.1517897047198018,212.291,14.346,11.43,0.0226029917008049,1.7574864475142378e-05,451.9810494249608,17.422065936390425,1.5228730215232864,0.0016054912989507,0.0307036349312644,CANDIDATE,1,1,0,0,Transit
EPIC 201160662.01,EPIC 201160662,1.5374114999999997,0.0181872833747462,0.0188214755621387,86.9981557913911,30.0,541.6399259767325,0.0709997477703074,6319.169531348263,4.139897695622884,1.2562400539793142,1.599,0.7217360686536718,666.23,12.382,10.797,0.1719681583757951,0.0012949834915306,2613.414266925295,47.529024812310034,173.63324369022567,0.001374512918656,0.4088626859097239,CANDIDATE,1,1,0,0,Transit
EPIC 201164625.01,EPIC 201164625,2.7118900000000004,0.0321809033245066,0.1064024481664488,88.3298586327894,4.34,18.52280481023878,1.257143900269828,6402.0,3.54386,1.28,3.16745,1.18138,1032.42,11.461,10.777,0.0125590043510728,4.34633281613206e-05,2801.427413917217,23.1085505761898,90.77855990688204,0.0007845105808974,0.4577289535027621,CANDIDATE,1,1,0,0,Transit
EPIC 201166680.01,K2-243,18.105490000000003,0.12901683415171,0.1063955781236907,88.94517,2.09985108,10.290399729503266,5.850379506222439,6213.0,4.32,1.185791353503875,1.224685,0.4326599905887339,266.864,10.971,9.591,0.0157159032573695,2.6064545978332657e-05,844.3029334969195,24.76202003241274,2.0684456347482203,0.0026523002367276,0.0441443234086248,CANDIDATE,1,1,0,0,Transit
EPIC 201170410.02,EPIC 201170410,6.798699999999999,0.0349,0.0,89.0025,1.0469999999999997,0.9568225302653756,4.546922329429865,3648.0,4.999,0.287,0.2819999999999999,0.012664458889932,186.5955,17.6984,12.619,0.0340308520389258,1.0013264649746444e-05,457.37729961600064,10.69317197927305,0.8274198216421828,0.0005215671619832,0.0375768636103151,CONFIRMED,1,1,0,0,Transit
EPIC 201176672.01,EPIC 201176672,79.99990000000003,0.3336043749760052,0.3323627456359996,89.59089362499657,10.199999999999998,103.21382647313432,0.7067229425784844,4542.0,4.747,0.5769352946234666,0.508,0.1488862031978811,333.46,14.258,11.604,0.184039781461781,0.0005373249033043,247.2128566076272,35.582220744945886,0.1064586895709635,0.0188048688527686,0.0070815580885889,CANDIDATE,1,1,0,0,Transit
EPIC 201176672.02,EPIC 201176672,6.791862543700359,0.0912499992477175,0.1207511655011655,87.60152816449349,30.0,493.3452134202576,0.3114786995614227,4655.155575625315,4.594330333350948,0.7954569872711008,0.707,0.176439611339603,333.46,14.258,11.604,0.3889350569206456,0.0018627750665591,571.5252306064626,45.360624815214976,1.6862442793724794,0.0077847724640127,0.0360315870367773,CANDIDATE,1,1,0,0,Transit
EPIC 201180665.01,EPIC 201180665,17.77297,0.1256002295463051,0.1593508656062025,89.15818541717893,26.439999999999984,509.8639567485868,0.506475831870757,5847.0,4.26659,1.06,1.25428,0.21921,601.265,13.327,11.65,0.1932156066647047,0.0014446899280414,814.9727013161829,49.120256564868455,1.1057822944056463,0.0098448301976466,0.0464409303443951,CANDIDATE,1,1,0,0,Transit
EPIC 201182911.01,EPIC 201182911,0.9965622500000002,0.0171208984242888,0.0997598501093587,83.38551299526752,30.0,492.738972686512,0.3150120827063853,3727.0,4.815757045695882,0.5161007849734517,0.5,0.0803514091757071,335.632,16.226,12.335,0.5499541704857929,0.002867534108614,888.3601224838152,45.33274584628626,21.813760084880872,0.0016865102948829,0.1358126742169827,CANDIDATE,1,1,0,0,Transit
EPIC 201197348.01,EPIC 201197348,14.912380999999998,0.1239895261296136,0.4195450698680072,87.76313716241684,3.5500000000000007,9.006964073063234,1.1385604205582882,4224.0,4.669045463910842,0.6758237995644941,0.65,0.2545141461394634,360.103,15.537,12.424,0.0500599309031939,4.0028668775239e-05,426.5756129339502,17.817190959611125,1.317443689130438,0.0029408190139281,0.0243795229674487,CANDIDATE,0,1,0,0,Transit
EPIC 201197348.01,EPIC 201197348,14.913900000000002,0.1241419405871599,0.4159390694876727,87.72076225530134,3.24,18.791195040271628,3.534063367990539,5120.0,4.655434188071742,0.6800651992753242,0.647,0.2524229979498316,360.103,15.537,12.424,0.0459003480776395,8.299081837081783e-05,515.5499772587062,26.93821972706196,1.303412844376002,0.0037545232162287,0.0242372084387345,CANDIDATE,1,1,0,0,Transit
EPIC 201231940.01,EPIC 201231940,0.57303573,0.0129076963839143,1.3877787807814457e-17,82.29551360231112,3.35,28.85030246987826,4.602072129408408,3570.0,4.8586878301497824,0.4419751322779107,0.43,0.0148654458432325,1138.64,18.78,15.155,0.0714087779506746,0.0001960553665502,908.8370198952746,32.825925371700286,7.100200166337945,0.0005199176583554,0.1549232365344479,CANDIDATE,1,1,0,0,Transit
EPIC 201238110 b,EPIC 201238110,28.1656,0.1805332970570178,0.1492370629031901,89.30950746854526,1.87,8.029410711011906,7.299229834088541,3566.0,4.85,0.41,0.4,0.0441309725568109,159.259,16.014,11.933,0.0428505957836846,5.8820134686837125e-05,234.1211309623245,23.178494775319788,0.1077504287940867,0.0048680933803308,0.0103038499286505,CONFIRMED,1,1,0,0,Transit
